Expert,Ecological Group,Strategy,NumSppScored
19,Riparian Species,2,1
19,Riparian Species,3,1
19,Riparian Species,4,1
19,Riparian Species,5,1
19,Riparian Species,6,1
19,Riparian Species,7,1
19,Riparian Species,8,1
19,Riparian Species,9,1
19,Riparian Species,10,1
19,Riparian Species,11,1
19,Riparian Species,12,1
19,Riparian Species,13,1
19,Riparian Species,14,1
19,Riparian Species,15,1
19,Riparian Species,16,1
19,Riparian Species,17,1
19,Riparian Species,18,1
19,Riparian Species,19,1
19,Riparian Species,20,1
19,Riparian Species,21,1
19,Riparian Species,22,1
